obs_nuc,11B,11B,13C,13C,13C,13C,13C,13C,13C,13C,13C,13C,13C,19F,19F,19F,19F,19F,19F,19F,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,29Si,31P,31P,7Li,P31,P31,P31,P31,P31,P31,P31,c6d6,none,none,none,none,none,none,Total
sequence,jzgig_bs_02,zgbs,C13_observe_PWnutation,C13_observe_tpwr55_pw90,C13_observe_tpwr58_pw360,C13_observe_tpwr58_pw90,CARBON,H1_decoupler_dpwr40,H1_decoupler_pplvl60_pp90,H1_decoupler_pplvl61_pp90,H1_decoupler_waltz16_Profile,deptsp135,zgpg30,F19_calibration_FLUORINE,F19_observe_tpwr57_pw90,F19_observe_tpwr63_pw360,F19_observe_tpwr63_pw90,zgfhigqn.2,zgfhigqn180.b,zgflqn180.b,AutoTestN15_calibration_PROTON,C13_decoupler_PWXnutation,C13_decoupler_WURST40_Profile,C13_decoupler_dpwr41,C13_decoupler_pwxlvl55,C13_decoupler_pwxlvl58,C13_decoupler_pwxlvl59,CH3I_calibration_PROTON,Dbppste_cc,Doneshot,Gradient_profile_gzlvl12000,Gradient_profile_gzlvl13000,H1C13_GradientRatio_gzlvl125000_negarray,H1C13_GradientRatio_gzlvl125000_posarray,H1N15_GradientRatio_gzlvl125000_negarray,H1N15_GradientRatio_gzlvl125000_posarray,H1P31_GradientRatio_gzlvl125000_negarray,H1P31_GradientRatio_gzlvl125000_posarray,H1_observe_PWnutation,H1_observe_tpwr48_pw360,H1_observe_tpwr57_pw90,H1_observe_tpwr59_pw90,H1_observe_tpwr60_pw360,H1_observe_tpwr60_pw90,HSQCADTOXY,JA_OPSY_z,N15_decoupler_PWXnutation,N15_decoupler_pwxlvl51,N15_decoupler_pwxlvl59,N15_decoupler_pwxlvl63,NOESY,P31_decoupler_pwxlvl51,P31_decoupler_pwxlvl59,P31_decoupler_pwxlvl61,P31_decoupler_pwxlvl62,P31_decoupler_pwxlvl63,PROTON,PSYCHE_zTOCSY,PSYCHE_zTOCSY_01,ch3iP_calibration_PROTON,cosygpppqf_ptype,gCOSY,gHMBCAD,gHMBCAD_02,gHSQCAD,ja_GMZSnewD,ja_PSYCHE_pr_03b,reset_psychetse.ptg,zTOCSY,zg,zg30,zgig,SILICON,zg30,zgpg30,zg30,P31_observe_PWnutation,P31_observe_tpwr59_pw90,P31_observe_tpwr61_pw90,P31_observe_tpwr62_pw90,P31_observe_tpwr63_pw360,P31_observe_tpwr63_pw90,PHOSPHORUS,F19_decoupler_tpwr62_pw360,F19_decoupler_PWnutation,F19_decoupler_tpwr50_pw360,F19_decoupler_tpwr58_pw90,F19_decoupler_tpwr61_pw360,F19_decoupler_tpwr61_pw90,F19_decoupler_tpwr62_pw360,
group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,41,48,1,2,1,1,101,1,1,1,1,108,263,2,2,1,1,42,268,528,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,27,1,1,1,1,3,307,3,2,2,269,77,101,1,96,1,52,6,1,906,1933,12,1,27,43,1,1,2,1,1,1,1,7,1,1,2,1,1,1,1,5345
GS,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,40,175,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754
PGS,0,3,0,0,0,0,35,0,0,0,0,0,34,0,0,0,0,2,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,99,0,0,0,2,21,35,0,35,0,16,0,0,114,123,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
IRB,0,0,0,0,0,0,4,0,0,0,0,40,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,60,4,4,0,3,0,4,0,0,100,229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509
AMOD,0,0,0,0,0,0,0,0,0,0,0,17,40,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,178,96,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397
